congress,sen_maj_pct,sen_control,rep_maj_pct,rep_control
1,69.2,Pro-Administration,56.9,Pro-Administration
2,53.3,Pro-Administration,56.5,Pro-Administration
3,53.3,Pro-Administration,51.4,Anti-Administration
4,65.6,Federalist,55.7,Democratic Republican
5,68.8,Federalist,53.8,Federalist
6,68.8,Federalist,56.6,Federalist
7,50,Democratic Republican,63.6,Democratic Republican
8,73.5,Democratic Republican,72.5,Democratic Republican
9,79.4,Democratic Republican,80.3,Democratic Republican
10,82.4,Democratic Republican,81.7,Democratic Republican
11,79.4,Democratic Republican,64.8,Democratic Republican
12,83.3,Democratic Republican,74.8,Democratic Republican
13,77.8,Democratic Republican,62.6,Democratic Republican
14,68.4,Democratic Republican,65,Democratic Republican
15,71.4,Democratic Republican,78.9,Democratic Republican
16,80.4,Democratic Republican,86,Democratic Republican
17,91.7,Democratic Republican,82.9,Democratic Republican
18,89.6,Democratic Republican,88.7,Democratic Republican
19,54.2,Democrat,51.2,Republican
20,56.3,Democrat,53.1,Democrat
21,52.1,Democrat,63.8,Democrat
22,50,Democrat,59.2,Democrat
23,54.2,Republican,59.6,Democrat
24,50,Democrat,59.1,Democrat
25,67.3,Democrat,52.9,Democrat
26,57.7,Democrat,51.7,Democrat
27,55.8,Whig,58.7,Whig
28,55.8,Whig,65.9,Democrat
29,58.6,Democrat,62.3,Democrat
30,63.3,Democrat,52.7,Whig
31,56.5,Democrat,48.5,Democrat
32,58.1,Democrat,54.5,Democrat
33,61.3,Democrat,67.1,Democrat
34,62.9,Democrat,42.7,Opposition
35,60.9,Democrat,55.3,Democrat
36,57.6,Democrat,47.7,Republican
37,62,Republican,59.6,Republican
38,56.9,Republican,56.3,Republican
39,80.8,Republican,75.9,Republican
40,79.2,Republican,74.1,Republican
41,82.4,Republican,70,Republican
42,77,Republican,56,Republican
43,73,Republican,69.3,Republican
44,60.5,Republican,61.8,Democrat
45,51.3,Republican,53.2,Democrat
46,56.6,Democrat,51.2,Democrat
47,48.7,Neither,51.9,Republican
48,52.6,Republican,61.5,Democrat
49,53.9,Republican,56,Democrat
50,51.3,Republican,52.3,Democrat
51,56,Republican,52.4,Republican
52,53.4,Republican,69.4,Democrat
53,50,Democrat,61.8,Democrat
54,50,Republican,68.9,Republican
55,51.1,Republican,57.7,Republican
56,58.9,Republican,51.8,Republican
57,62.2,Republican,55.5,Republican
58,64.4,Republican,53.6,Republican
59,64.4,Republican,64.8,Republican
60,66.3,Republican,57.5,Republican
61,64.1,Republican,56,Republican
62,53.3,Republican,58.3,Democrat
63,53.1,Democrat,66.7,Democrat
64,58.3,Democrat,53.1,Democrat
65,55.2,Democrat,49.7,Democrat
66,50,Republican,54.5,Republican
67,61.5,Republican,69,Republican
68,53.1,Republican,51.7,Republican
69,56.3,Republican,56.8,Republican
70,50,Republican,54.5,Republican
71,58.3,Republican,61.4,Republican
72,50,Republican,49.9,Neither
73,61.5,Democrat,72,Democrat
74,71.9,Democrat,74,Democrat
75,78.1,Democrat,76.6,Democrat
76,71.9,Democrat,60.2,Democrat
77,68.8,Democrat,61.4,Democrat
78,59.4,Democrat,51,Democrat
79,59.4,Democrat,55.9,Democrat
80,53.1,Republican,56.6,Republican
81,56.3,Democrat,60.5,Democrat
82,50,Democrat,53.8,Democrat
83,50,Republican,50.8,Republican
84,50,Democrat,53.3,Democrat
85,51,Democrat,53.8,Democrat
86,65.3,Democrat,64.8,Democrat
87,64,Democrat,60,Democrat
88,67,Democrat,59.3,Democrat
89,68,Democrat,67.8,Democrat
90,64,Democrat,57,Democrat
91,58,Democrat,55.9,Democrat
92,54,Democrat,58.6,Democrat
93,56,Democrat,55.6,Democrat
94,61,Democrat,66.9,Democrat
95,61,Democrat,67.1,Democrat
96,58,Democrat,63.7,Democrat
97,53,Republican,55.6,Democrat
98,54,Republican,61.8,Democrat
99,53,Republican,58.2,Democrat
100,55,Democrat,59.3,Democrat
101,55,Democrat,59.8,Democrat
102,56,Democrat,61.4,Democrat
103,57,Democrat,59.3,Democrat
104,53,Republican,52.9,Republican
105,55,Republican,52,Republican
106,55,Republican,51.3,Republican
107,50,Neither,50.8,Republican
108,51,Republican,52.6,Republican
109,55,Republican,53.1,Republican
110,49,Neither,54.3,Democrat
111,57,Democrat,59.1,Democrat
112,51,Democrat,55.6,Republican
113,53,Democrat,53.8,Republican
114,54,Republican,56.8,Republican
115,52,Republican,55.4,Republican
